PUESTO;SALARIO;JORNADA;AÑOS DE SERVICIO;MES COMPLETO;CARGO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;419838.00;0.500;0; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;1562570.00;0.500;32; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;2184969.00;1.000;40; ;TÉCNICO EN ADQUISICIÓN DE BIENES Y SERVICIOS POR FONDOS DE TRABAJO                                                                                                                                                                                              
PROFESOR INSTRUCTOR                    ;2452067.80;1.000;28; ;PROFESIONAL EN ODONTOLOGÍA                                                                                                                                                                                                                                      
DIRECTOR DE ESCUELA;7400131.00;1.000;35; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;894430.50;0.750;11; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;449265.25;0.250;20; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL C;3713270.00;1.000;38; ;PROFESIONAL COORDINADOR DE CENTRO CATALOGRÁFICO                                                                                                                                                                                                                 
PROFESOR CATEDRATICO                   ;4650617.00;1.000;31; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;1582920.00;1.000;28; ;TÉCNICO EN GESTIÓN ADMINISTRATIVA DE LA ESCUELA DE QUÍMICA                                                                                                                                                                                                      
PROFESOR CATEDRATICO                   ;3406726.00;1.000;26; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO;2693539.00;1.000;25; ;PROFESIONAL EN ASESORÍA Y EVALUACIÓN CURRICULAR                                                                                                                                                                                                                 
JEFE B;3769729.00;1.000;28; ;NULL
PROFESOR INTERINO;4455508.75;1.250;36; ;SUBDIRECTOR DE OFICINA JURÍDICA                                                                                                                                                                                                                                 
TECNICO ESPECIALIZADO D;2091557.00;1.000;34; ;TÉCNICO EN COBROS ESTUDIANTILES                                                                                                                                                                                                                                 
JEFE B;4219749.00;1.000;32; ;JEFE DE PLANEAMIENTO UNIVERSITARIO                                                                                                                                                                                                                              
PROFESIONAL A;2589052.00;1.000;31; ;JEFATURA ADMINISTRATIVA DE OFICINA                                                                                                                                                                                                                              
PROFESOR CATEDRATICO                   ;5074896.00;1.000;30; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3801140.00;1.000;27; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;254576.75;0.250;6; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;2054192.00;1.000;35; ;TÉCNICO EN SISTEMAS TELEFÓNICOS                                                                                                                                                                                                                                 
PROFESOR CATEDRATICO                   ;3879879.00;1.000;36; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;2; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3893723.00;1.000;28; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO C;1445907.00;1.000;37; ;MENSAJERO-CHOFER                                                                                                                                                                                                                                                
PROFESOR ASOCIADO                      ;1835216.00;1.000;14; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL A;1409474.00;1.000;32; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
TECNICO ESPECIALIZADO B;1630686.00;1.000;29; ;TÉCNICO EN GESTIÓN DE POSGRADOS B                                                                                                                                                                                                                               
TECNICO ASISTENCIAL B;1685253.00;1.000;33; ;ASISTENTE DE LABORATORIO                                                                                                                                                                                                                                        
PROFESIONAL B;559687.40;0.250;21; ;PROFESIONAL EN PERIODISMO                                                                                                                                                                                                                                       
PROFESOR ASOCIADO                      ;2205229.50;0.750;27; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1895653.00;1.000;23; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;3020383.00;1.000;28; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO A;1223144.00;1.000;29; ;TRABAJADOR AGROPECUARIO                                                                                                                                                                                                                                         
PROFESIONAL B;635683.25;0.250;29; ;PROFESIONAL EN EDICIÓN DEL SEMANARIO DIGITAL                                                                                                                                                                                                                    
PROFESOR INSTRUCTOR                    ;717460.75;0.375;24; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1368271.00;1.000;26; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
TECNICO ESPECIALIZADO D;1007523.85;1.000;35;MES INCOMPLETO;TÉCNICO EN ADQUISICIÓN DE BIENES Y SERVICIOS POR FONDOS DE TRABAJO                                                                                                                                                                                              
PROFESOR ASOCIADO                      ;1737686.00;0.500;38; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;314878.35;0.375;3; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;256290.40;0.125;29; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL C;3356985.00;1.000;34; ;PROFESIONAL EN ASESORÍA LEGAL                                                                                                                                                                                                                                   
TECNICO ESPECIALIZADO D;1858027.00;1.000;27; ;TÉCNICO COORDINADOR DE MANTENIMIENTO                                                                                                                                                                                                                            
PROFESOR ASOCIADO                      ;2432380.00;1.000;9; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;2582736.00;1.000;24; ;PUESTO NO ADMINISTRATIVO
DECANO;5874190.00;1.000;32; ;PUESTO NO ADMINISTRATIVO
DIRECTOR INSTITUTO INVESTIGACIÓN;4012140.00;1.000;22; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO C;1735393.00;1.000;28; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
JEFE A;2851942.00;1.000;26; ;JEFE DE IMPORTACIONES                                                                                                                                                                                                                                           
PROFESOR CATEDRATICO                   ;3389384.00;1.000;24; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;1843028.00;1.000;26; ;PROFESIONAL EN CONTROL DE PÓLIZAS DE SEGUROS                                                                                                                                                                                                                    
PROFESOR INTERINO LICENCIADO           ;297593.75;0.250;7; ;PUESTO NO ADMINISTRATIVO
DIRECTOR CENTRO INVESTIGACION;5424738.00;1.000;33; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;295193.25;0.250;10; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;3044292.00;1.000;26; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1914074.00;1.000;30; ;TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            
PROFESOR INSTRUCTOR                    ;2214236.00;1.000;21; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;2872048.00;1.000;37; ;JEFATURA ADMINISTRATIVA B DE OFICINA                                                                                                                                                                                                                            
PROFESOR INSTRUCTOR                    ;490154.10;0.250;26; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;3018898.00;1.000;35; ;PROFESIONAL EN GESTIÓN DE LA VALORACIÓN DE RECURSOS Y PROVEEDORES                                                                                                                                                                                               
TECNICO ESPECIALIZADO D;1886051.00;1.000;28; ;ENCARGADO DE SERVICIOS ADMINISTRATIVOS DE OFICINA                                                                                                                                                                                                               
TECNICO ESPECIALIZADO D;1886051.00;1.000;28; ;TÉCNICO COORDINADOR DE ASISTENCIA DENTAL                                                                                                                                                                                                                        
PROFESOR INTERINO LICENCIADO           ;966617.00;0.500;29; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;2920135.00;1.000;22; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;104959.45;0.125;4; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;252552.65;0.125;29; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;2453434.00;1.000;28; ;JEFATURA ADMINISTRATIVA DE OFICINA                                                                                                                                                                                                                              
PROFESIONAL A;2114390.00;1.000;18; ;PROFESIONAL EN ADQUISICIÓN DE BIENES Y SERVICIOS                                                                                                                                                                                                                
TECNICO ESPECIALIZADO D;2147604.00;1.000;39; ;PROFESIONAL EN SALUD OCUPACIONAL                                                                                                                                                                                                                                
PROFESIONAL B;2492069.00;1.000;27; ;PROFESIONAL COORDINADOR DE GESTIÓN DE CAPACITACIÓN Y CONSULTORÍA                                                                                                                                                                                                
TECNICO ASISTENCIAL B;1981419.00;1.000;31; ;SUPERVISOR DE SEGURIDAD                                                                                                                                                                                                                                         
PROFESIONAL C;3215384.00;1.000;36; ;JEFATURA ADMINISTRATIVA DE FACULTAD                                                                                                                                                                                                                             
PROFESOR INSTRUCTOR                    ;2471425.00;1.000;25; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1786088.00;1.000;26; ;NULL
PROFESIONAL C;3356985.00;1.000;35; ;JEFATURA ADMINISTRATIVA C DE ESCUELA                                                                                                                                                                                                                            
TECNICO ASISTENCIAL B;1474654.00;1.000;30; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
TECNICO ASISTENCIAL B;1728124.00;1.000;35; ;ASISTENTE DE REGISTRO E INFORMACIÓN ESTUDIANTIL                                                                                                                                                                                                                 
TECNICO ESPECIALIZADO C;1821717.00;1.000;32; ;TÉCNICO EN APOYO A INGENIERÍA ELÉCTRICA                                                                                                                                                                                                                         
PROFESOR CATEDRATICO                   ;4980612.00;1.000;37; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;419937.60;0.250;18; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;446190.75;0.250;13; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;5860517.00;1.000;34; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;4573890.00;1.000;31; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1914074.00;1.000;30; ;PENDIENTE                                                                                                                                                                                                                                                       
DIRECTOR DE ESCUELA;2859043.00;1.000;20; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;5798264.00;1.000;31; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;2; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;2099844.00;1.000;24; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;1244383.00;0.500;22; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1886051.00;1.000;29; ;TÉCNICO EN FONDOS DE VÍNCULOS EXTERNO DE CONARE                                                                                                                                                                                                                 
TECNICO ESPECIALIZADO B;1630686.00;1.000;28; ;TÉCNICO EN ASISTENCIA DENTAL                                                                                                                                                                                                                                    
PROFESOR CATEDRATICO                   ;3613922.00;1.000;31; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL A;1384406.00;1.000;31; ;OPERARIO EN MANTENIMIENTO GENERAL DE INSTALACIONES                                                                                                                                                                                                              
PROFESOR INTERINO LICENCIADO           ;153934.00;0.126;12; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;2638693.00;1.000;16; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL A;1449584.00;1.000;34; ;BODEGUERO                                                                                                                                                                                                                                                       
PROFESOR CATEDRATICO                   ;1663414.00;0.500;28; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;1669351.50;0.500;38; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;1647212.00;1.000;13; ;PROFESIONAL EN EDICIÓN DE REVISTA                                                                                                                                                                                                                               
PROFESOR EXBECARIO DOCTORADO           ;2447875.00;1.000;6; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO A;1295832.00;1.000;33; ;TRABAJADOR AGROPECUARIO                                                                                                                                                                                                                                         
PROFESOR CATEDRATICO EDUCACION SUPERIOR;619002.50;0.250;21; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1970121.00;1.000;32; ;TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            
JEFE A;3245674.00;1.000;26; ;JEFE DE TECNOLOGÍAS DE INFORMACIÓN                                                                                                                                                                                                                              
TECNICO ESPECIALIZADO A;1606668.00;1.000;33; ;EBANISTA                                                                                                                                                                                                                                                        
PROFESIONAL A;2548653.00;1.000;33; ;PROFESIONAL EN EDUCACIÓN PREESCOLAR                                                                                                                                                                                                                             
PROFESOR INSTRUCTOR                    ;259701.15;0.125;20; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;463760.80;0.250;26; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;1; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;4810966.00;1.000;35; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;880420.55;0.875;0; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO A;1295832.00;1.000;32; ;TRABAJADOR AGROPECUARIO                                                                                                                                                                                                                                         
PROFESOR ADJUNTO                       ;2211233.00;1.000;23; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;1333467.50;0.500;29; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;580410.25;0.250;28; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1517208.00;1.000;32; ;ASISTENTE DE REGISTRO E INFORMACIÓN ESTUDIANTIL                                                                                                                                                                                                                 
TRABAJADOR OPERATIVO B;1383298.00;1.000;35; ;CONSERJE                                                                                                                                                                                                                                                        
DIRECTOR CENTRO REGIONAL;4446163.00;1.000;25; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3170791.00;1.000;20; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;2155492.85;1.000;31; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;4015766.00;1.000;29; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1660825.00;1.000;17; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;1463504.00;1.000;23; ;TÉCNICO EN APOYO A LA INVESTIGACIÓN EN SALUD                                                                                                                                                                                                                    
PROFESOR INSTRUCTOR                    ;1987533.35;0.813;31; ;PROFESIONAL EN ODONTOLOGÍA                                                                                                                                                                                                                                      
TECNICO ESPECIALIZADO D;2138263.00;1.000;29; ;ENCARGADO DE SERVICIOS ADMINISTRATIVOS DE OFICINA                                                                                                                                                                                                               
PROFESOR INSTRUCTOR                    ;1454501.20;0.738;25; ;PROFESIONAL EN ODONTOLOGÍA                                                                                                                                                                                                                                      
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;0; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;1654570.00;1.000;32; ;TÉCNICO EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                      
PROFESOR INSTRUCTOR                    ;2500057.00;1.000;33; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL A;1469639.00;1.000;39; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
PROFESOR INTERINO;6625214.50;1.250;37; ;DIRECTOR                                                                                                                                                                                                                                                        
PROFESOR INSTRUCTOR                    ;482678.75;0.250;26; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;946777.50;0.500;30; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;3328465.00;1.000;27; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;3477547.00;1.000;39; ;PUESTO NO ADMINISTRATIVO
MIEMBRO CONSEJO UNIVERSITARIO;5538053.00;1.000;46; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;400738.50;0.250;14; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;2026169.00;1.000;34; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESOR INSTRUCTOR                    ;512581.00;0.250;30; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;83876.00;0.062;13; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO C;1296640.00;1.000;28; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESOR CATEDRATICO                   ;4489247.00;1.000;35; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;3548045.00;1.000;34; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;0; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;885057.30;0.375;33; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;328340.50;0.250;14; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;2302197.00;1.000;29; ;PROFESIONAL EN REFERENCIA BIBLIOGRÁFICA                                                                                                                                                                                                                         
PROFESOR INSTRUCTOR                    ;2446262.00;1.000;29; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1674125.00;1.000;14; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;717338.20;0.375;26; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1696575.00;1.000;36; ;ASISTENTE DE LABORATORIO                                                                                                                                                                                                                                        
PROFESOR ADJUNTO                       ;2765543.00;1.000;29; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL C;3356985.00;1.000;34; ;JEFATURA ADMINISTRATIVA DE FACULTAD                                                                                                                                                                                                                             
PROFESOR ASOCIADO                      ;3039113.00;1.000;28; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;918160.85;1.000;6; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL C;3253108.00;1.000;31; ;JEFATURA ADMINISTRATIVA DE FACULTAD                                                                                                                                                                                                                             
TRABAJADOR OPERATIVO C;1842701.00;1.000;30; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
TECNICO ESPECIALIZADO B;1606803.00;1.000;28; ;TÉCNICO EN IMPRESIÓN                                                                                                                                                                                                                                            
TECNICO ASISTENCIAL B;1410825.00;1.000;27; ;ASISTENTE DE REGISTRO E INFORMACIÓN ESTUDIANTIL                                                                                                                                                                                                                 
TECNICO ESPECIALIZADO A;1448862.00;1.000;25; ;TÉCNICO EN APOYO ADMINISTRATIVO DEL PIAM                                                                                                                                                                                                                        
PROFESOR INTERINO LICENCIADO           ;1986294.00;1.000;27; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;5295299.00;1.000;35; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;2403911.00;1.000;33; ;PROFESIONAL EN CONTRATACIÓN DE SERVICIOS EXTERNOS                                                                                                                                                                                                               
TECNICO ESPECIALIZADO B;1630686.00;1.000;30; ;TÉCNICO DE LABORATORIO EN GRANOS Y SEMILLAS                                                                                                                                                                                                                     
PROFESOR CATEDRATICO                   ;4749487.00;1.000;35; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;4827116.20;1.000;32; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO C;1685865.00;1.000;26; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR ASOCIADO                      ;1995435.00;1.000;17; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1605815.00;1.000;19; ;TÉCNICO EN MANTENIMIENTO DE REDES DE TELECOMUNICACIONES                                                                                                                                                                                                         
PROFESIONAL B;3261886.00;1.000;36; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESOR CATEDRATICO                   ;3083127.00;1.000;20; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;2305005.00;1.000;33; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;3401725.00;1.000;26; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;3162798.00;1.000;27; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;2762118.00;1.000;27; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;2037143.00;1.000;13; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;5102629.00;1.000;28; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;1432681.20;1.000;31;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;559833.40;0.281;28; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;2249335.00;1.000;24; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1137511.50;0.500;32; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1231105.00;1.000;7; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1466590.00;1.000;15; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;1606803.00;1.000;28; ;TÉCNICO EN MANTENIMIENTO DE EQUIPO DE LABORATORIO                                                                                                                                                                                                               
PROFESOR INTERINO LICENCIADO           ;52479.70;0.063;10; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;2307459.00;1.000;29; ;JEFATURA ADMINISTRATIVA A DE ESCUELA                                                                                                                                                                                                                            
TECNICO ESPECIALIZADO C;1770610.00;1.000;31; ;TÉCNICO EN APOYO AL PROCESO ADMINISTRATIVO DE VICERRECTORÍA                                                                                                                                                                                                     
PROFESIONAL C;2842695.00;1.000;18; ;PROFESIONAL COORDINADOR DE PRODUCCIÓN RADIOFÓNICA                                                                                                                                                                                                               
TRABAJADOR OPERATIVO C;1406968.00;1.000;34; ;AUXILIAR DE LABORATORIO                                                                                                                                                                                                                                         
PROFESOR ADJUNTO                       ;2294824.00;1.000;17; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;67843.75;0.063;14; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO EDUCACION SUPERIOR    ;2327134.00;1.000;19; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;1563710.50;0.500;23; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;3236554.00;1.000;36; ;PROFESIONAL EN ANÁLISIS ADMINISTRATIVO                                                                                                                                                                                                                          
PROFESOR CATEDRATICO                   ;4407110.00;1.000;38; ;PUESTO NO ADMINISTRATIVO
DIRECTOR DE ESCUELA;5985889.00;1.000;32; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;4376685.00;1.000;26; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;823334.50;0.500;15; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;2335743.00;0.750;30; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;582897.50;0.500;7; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO B;1234394.00;1.000;28; ;PENDIENTE                                                                                                                                                                                                                                                       
VICERRECTOR;4444711.00;1.000;23; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;2054192.00;1.000;30; ;TÉCNICO EN MANTENIMIENTO DE REDES DE TELECOMUNICACIONES                                                                                                                                                                                                         
JEFE A;4259509.00;1.000;35; ;JEFE DE CONTROL DE CALIDAD DE AUDITORIAS                                                                                                                                                                                                                        
PROFESOR INTERINO LICENCIADO           ;419838.00;0.500;16; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;2147604.00;1.000;39; ;TÉCNICO EN SERVICIOS DE FONOTECA Y PROGRAMACIÓN RADIOFÓNICA AUTOMATIZADA                                                                                                                                                                                        
TRABAJADOR OPERATIVO B;1364685.00;1.000;35; ;CONSERJE                                                                                                                                                                                                                                                        
PROFESIONAL A;2129080.50;1.000;32; ;PROFESIONAL EN EDICIÓN DE REVISTA                                                                                                                                                                                                                               
TRABAJADOR OPERATIVO C;1329089.00;1.000;30; ;ENCARGADO DE SERVICIO DE CONSERJERÍA                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;274803.25;0.250;7; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;155628.30;0.125;11; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1263113.00;1.000;10; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO C;1693949.00;1.000;28; ;TÉCNICO EN CATALOGACIÓN                                                                                                                                                                                                                                         
PROFESIONAL B;2980900.00;1.000;34; ;JEFATURA ADMINISTRATIVA B DE OFICINA                                                                                                                                                                                                                            
PROFESOR INSTRUCTOR                    ;1055064.50;0.500;32; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1728988.00;1.000;28; ;TÉCNICO EN EXPEDIENTES ACADÉMICOS                                                                                                                                                                                                                               
TECNICO ESPECIALIZADO C;1927750.00;1.000;35; ;TÉCNICO EN TRÁMITES DE VIÁTICOS AL EXTERIOR                                                                                                                                                                                                                     
PROFESOR CATEDRATICO                   ;3033224.00;1.000;21; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;413125.75;0.250;26; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1092697.50;0.500;32; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;2935206.00;1.000;26; ;PROFESIONAL EN ODONTOLOGÍA                                                                                                                                                                                                                                      
TRABAJADOR OPERATIVO C;1445907.00;1.000;35; ;CHOFER                                                                                                                                                                                                                                                          
TECNICO ESPECIALIZADO B;1294664.25;0.750;35; ;TÉCNICO DE LABORATORIO DE COLECCIONES DE PECES Y LARVAS DE PECES                                                                                                                                                                                                
PROFESIONAL B;2980900.00;1.000;33; ;PROFESIONAL EN ENFERMERÍA                                                                                                                                                                                                                                       
PROFESOR ADJUNTO                       ;2515721.00;1.000;36; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;209918.90;0.250;2; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3046013.00;1.000;23; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;217798.10;0.250;8; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;2735947.00;1.000;25; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;968097.00;1.000;7; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;2490241.00;1.000;28; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;1805830.00;1.000;39; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESOR CATEDRATICO                   ;2815530.00;1.000;23; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1830004.00;1.000;27; ;TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            
PROFESOR CATEDRATICO                   ;4696264.00;1.000;30; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;2663478.25;0.806;29; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;94802.15;0.250;6;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
